Step,Layer,Head,Sparsity
1,6,15,0.0449
1,6,16,0.4758
1,6,17,0.2622
1,6,18,0.4074
1,6,19,0.1828
1,6,20,0.1964
1,6,21,0.1523
1,6,22,0.2868
1,6,23,0.1839
1,6,24,0.2368
1,6,25,0.1184
1,6,26,0.202
1,6,27,0.6471
1,6,28,0.1002
1,6,29,0.5609
1,6,30,0.1684
1,6,31,0.5035
1,6,32,0.2859
1,6,33,0.1768
1,6,34,0.0253
1,6,35,0.0333
1,6,36,0.4808
1,6,37,0.0684
1,6,38,0.3177
1,6,39,0.0076
1,7,0,0.028
1,7,1,0.3117
1,7,2,0.053
1,7,3,0.0529
1,7,4,0.0546
1,7,5,0.1614
1,7,6,0.1969
1,7,7,0.1565
1,7,8,0.2506
1,7,9,0.0666
1,7,10,0.2042
1,7,11,0.3941
1,7,12,0.1255
1,7,13,0.1059
1,7,14,0.5307
1,7,15,0.4619
1,7,16,0.2673
1,7,17,0.3849
1,7,18,0.1022
1,7,19,0.3833
1,7,20,0.1206
1,7,21,0.297
1,7,22,0.1796
1,7,23,0.1148
1,7,24,0.3261
1,7,25,0.1724
1,7,26,0.4588
1,7,27,0.2937
1,7,28,0.1217
1,7,29,0.4925
1,7,30,0.3382
1,7,31,0.1406
1,7,32,0.3012
1,7,33,0.298
1,7,34,0.1292
1,7,35,0.1272
1,7,36,0.0127
1,7,37,0.3274
1,7,38,0.4071
1,7,39,0.5395
1,8,0,0.014
1,8,1,0.1559
1,8,2,0.4426
1,8,3,0.4557
1,8,4,0.1498
1,8,5,0.407
1,8,6,0.0335
1,8,7,0.1693
1,8,8,0.3623
1,8,9,0.2396
1,8,10,0.0266
1,8,11,0.2349
1,8,12,0.0976
1,8,13,0.3852
1,8,14,0.0639
1,8,15,0.2088
1,8,16,0.4193
1,8,17,0.2273
1,8,18,0.2197
1,8,19,0.1747
1,8,20,0.2771
1,8,21,0.0386
1,8,22,0.4016
1,8,23,0.2369
1,8,24,0.3231
1,8,25,0.0543
1,8,26,0.1897
1,8,27,0.2248
1,8,28,0.086
1,8,29,0.2422
