Step,Layer,Head,Sparsity
1,6,15,0.1016
1,6,16,0.496
1,6,17,0.395
1,6,18,0.4625
1,6,19,0.2375
1,6,20,0.2551
1,6,21,0.378
1,6,22,0.3581
1,6,23,0.2722
1,6,24,0.3103
1,6,25,0.1775
1,6,26,0.2391
1,6,27,0.6442
1,6,28,0.2001
1,6,29,0.5999
1,6,30,0.2894
1,6,31,0.6079
1,6,32,0.4627
1,6,33,0.3105
1,6,34,0.0556
1,6,35,0.1037
1,6,36,0.4463
1,6,37,0.1059
1,6,38,0.4298
1,6,39,0.0098
1,7,0,0.0514
1,7,1,0.3495
1,7,2,0.0775
1,7,3,0.1027
1,7,4,0.1035
1,7,5,0.3182
1,7,6,0.2651
1,7,7,0.2644
1,7,8,0.303
1,7,9,0.1463
1,7,10,0.4009
1,7,11,0.4847
1,7,12,0.2187
1,7,13,0.1333
1,7,14,0.5889
1,7,15,0.4778
1,7,16,0.3515
1,7,17,0.4087
1,7,18,0.1594
1,7,19,0.3371
1,7,20,0.153
1,7,21,0.4254
1,7,22,0.2061
1,7,23,0.2752
1,7,24,0.3749
1,7,25,0.3432
1,7,26,0.5577
1,7,27,0.3395
1,7,28,0.1627
1,7,29,0.5834
1,7,30,0.3515
1,7,31,0.2937
1,7,32,0.3487
1,7,33,0.3073
1,7,34,0.4038
1,7,35,0.1801
1,7,36,0.0217
1,7,37,0.31
1,7,38,0.5191
1,7,39,0.5465
1,8,0,0.0221
1,8,1,0.3267
1,8,2,0.5849
1,8,3,0.5291
1,8,4,0.2132
1,8,5,0.5446
1,8,6,0.0757
1,8,7,0.2568
1,8,8,0.3834
1,8,9,0.3137
1,8,10,0.049
1,8,11,0.2914
1,8,12,0.1636
1,8,13,0.4919
1,8,14,0.1123
1,8,15,0.3077
1,8,16,0.53
1,8,17,0.3594
1,8,18,0.3132
1,8,19,0.2406
1,8,20,0.3244
1,8,21,0.0722
1,8,22,0.5159
1,8,23,0.2538
1,8,24,0.4216
1,8,25,0.0857
1,8,26,0.2245
1,8,27,0.331
1,8,28,0.1236
1,8,29,0.3282
1,8,30,0.4129
1,8,31,0.4254
1,8,32,0.109
1,8,33,0.1001
1,8,34,0.2785
1,8,35,0.6334
1,8,36,0.3141
1,8,37,0.3472
1,8,38,0.4189
1,8,39,0.1375
1,9,0,0.4338
1,9,1,0.1945
1,9,2,0.2503
1,9,3,0.403
1,9,4,0.1335
1,9,5,0.2796
1,9,6,0.1474
1,9,7,0.3114
1,9,8,0.4241
1,9,9,0.201
1,9,10,0.2005
1,9,11,0.2482
1,9,12,0.178
1,9,13,0.0704
1,9,14,0.3683
1,9,15,0.1887
1,9,16,0.2291
1,9,17,0.5206
1,9,18,0.0312
1,9,19,0.4109
1,9,20,0.3125
1,9,21,0.233
1,9,22,0.4083
1,9,23,0.1561
1,9,24,0.4047
1,9,25,0.2756
1,9,26,0.3187
1,9,27,0.4144
1,9,28,0.0925
1,9,29,0.2408
1,9,30,0.2783
1,9,31,0.3898
1,9,32,0.0939
1,9,33,0.3034
1,9,34,0.3462
1,9,35,0.3161
1,9,36,0.1973
1,9,37,0.2961
1,9,38,0.4117
1,9,39,0.332
1,10,0,0.1015
1,10,1,0.5052
1,10,2,0.3166
1,10,3,0.2392
1,10,4,0.0458
1,10,5,0.4389
1,10,6,0.2108
1,10,7,0.3689
1,10,8,0.1384
1,10,9,0.2359
1,10,10,0.1772
1,10,11,0.4808
1,10,12,0.1646
1,10,13,0.4335
1,10,14,0.4354
1,10,15,0.4665
1,10,16,0.1144
1,10,17,0.1389
1,10,18,0.3415
1,10,19,0.072
1,10,20,0.1437
1,10,21,0.3203
1,10,22,0.3218
1,10,23,0.0921
1,10,24,0.3477
1,10,25,0.5471
1,10,26,0.2816
1,10,27,0.4073
1,10,28,0.5356
1,10,29,0.1965
1,10,30,0.2877
1,10,31,0.4566
1,10,32,0.2304
1,10,33,0.0551
1,10,34,0.2791
1,10,35,0.213
1,10,36,0.319
1,10,37,0.0716
1,10,38,0.1685
1,10,39,0.1776
1,11,0,0.0933
1,11,1,0.3026
1,11,2,0.4451
1,11,3,0.1239
1,11,4,0.2622
1,11,5,0.2504
1,11,6,0.4698
1,11,7,0.4135
1,11,8,0.1367
1,11,9,0.3485
1,11,10,0.2746
1,11,11,0.0405
1,11,12,0.5599
