Step,Layer,Head,Sparsity
1,21,2,0.1882
1,21,3,0.02
1,21,4,0.3898
1,21,5,0.7897
1,21,6,0.5889
1,21,7,0.0694
1,21,8,0.0309
1,21,9,0.0864
1,21,10,0.0123
1,21,11,0.1879
1,22,0,0.5331
1,22,1,0.2574
1,22,2,0.7067
1,22,3,0.2361
1,22,4,0.3442
1,22,5,0.151
1,22,6,0.4459
1,22,7,0.6653
1,22,8,0.3073
1,22,9,0.6863
1,22,10,0.4143
1,22,11,0.4679
1,23,0,0.6493
1,23,1,0.0194
1,23,2,0.726
1,23,3,0.2842
1,23,4,0.3858
1,23,5,0.5984
1,23,6,0.3948
1,23,7,0.44
1,23,8,0.5724
1,23,9,0.2273
1,23,10,0.0045
1,23,11,0.2821
1,24,0,0.1088
1,24,1,0.2007
1,24,2,0.092
1,24,3,0.7283
1,24,4,0.796
1,24,5,0.3399
1,24,6,0.0341
1,24,7,0.3285
1,24,8,0.0453
1,24,9,0.3687
1,24,10,0.2812
1,24,11,0.1871
1,25,0,0.5811
1,25,1,0.262
1,25,2,0.3338
1,25,3,0.4203
1,25,4,0.4745
1,25,5,0.8246
1,25,6,0.4091
1,25,7,0.1823
1,25,8,0.4043
1,25,9,0.3316
1,25,10,0.5865
1,25,11,0.3082
1,26,0,0.7791
1,26,1,0.2336
1,26,2,0.3299
1,26,3,0.8554
1,26,4,0.4109
1,26,5,0.6774
1,26,6,0.3888
1,26,7,0.604
1,26,8,0.0274
1,26,9,0.4072
1,26,10,0.0049
1,26,11,0.5332
1,27,0,0.7614
1,27,1,0.3806
1,27,2,0.0688
1,27,3,0.2163
1,27,4,0.874
1,27,5,0.8275
1,27,6,0.0139
1,27,7,0.0035
1,27,8,0.5259
1,27,9,0.0088
1,27,10,0.1051
1,27,11,0.0046
1,28,0,0.001
1,28,1,0.0025
1,28,2,0.0988
1,28,3,0.8784
1,28,4,0.5452
1,28,5,0.4576
1,28,6,0.0068
1,28,7,0.6176
1,28,8,0.0018
1,28,9,0.1298
1,28,10,0.2679
1,28,11,0.0018
1,29,0,0.0013
1,29,1,0.8608
1,29,2,0.0088
1,29,3,0.7896
1,29,4,0.1131
1,29,5,0.426
1,29,6,0.8901
1,29,7,0.819
1,29,8,0.8404
1,29,9,0.0
1,29,10,0.5211
1,29,11,0.0706
2,0,0,0.7383
2,0,1,0.0401
2,0,2,0.8903
2,0,3,0.9111
2,0,4,0.0041
2,0,5,0.0102
2,0,6,0.0867
2,0,7,0.127
2,0,8,0.9127
2,0,9,0.8548
2,0,10,0.3775
2,0,11,0.0028
2,1,0,0.0471
2,1,1,0.1594
2,1,2,0.012
2,1,3,0.0289
2,1,4,0.0284
2,1,5,0.4645
2,1,6,0.6545
2,1,7,0.5092
2,1,8,0.1439
2,1,9,0.0051
2,1,10,0.8
2,1,11,0.4056
2,2,0,0.4663
2,2,1,0.73
2,2,2,0.0162
2,2,3,0.0046
2,2,4,0.0192
2,2,5,0.5738
2,2,6,0.7659
2,2,7,0.0079
2,2,8,0.0204
2,2,9,0.4735
2,2,10,0.3413
2,2,11,0.0059
2,3,0,0.0043
2,3,1,0.7464
2,3,2,0.5495
2,3,3,0.7022
2,3,4,0.2889
2,3,5,0.396
2,3,6,0.5268
2,3,7,0.0095
2,3,8,0.042
2,3,9,0.2282
2,3,10,0.7122
2,3,11,0.5063
2,4,0,0.0492
2,4,1,0.2662
2,4,2,0.5145
2,4,3,0.0057
2,4,4,0.7002
2,4,5,0.0047
2,4,6,0.8001
2,4,7,0.525
2,4,8,0.666
2,4,9,0.6858
2,4,10,0.2999
2,4,11,0.4009
2,5,0,0.0461
2,5,1,0.0131
2,5,2,0.2758
2,5,3,0.7761
2,5,4,0.4122
2,5,5,0.5853
2,5,6,0.0655
2,5,7,0.0076
2,5,8,0.7168
2,5,9,0.0171
2,5,10,0.0721
2,5,11,0.1826
2,6,0,0.4939
2,6,1,0.6564
2,6,2,0.0235
2,6,3,0.1876
2,6,4,0.2973
2,6,5,0.4737
2,6,6,0.6739
2,6,7,0.5094
2,6,8,0.4491
2,6,9,0.5226
2,6,10,0.4149
2,6,11,0.0051
