Step,Layer,Head,Sparsity
1,10,15,0.0544
1,10,16,0.0619
1,10,17,0.0051
1,10,18,0.0212
1,10,19,0.2754
1,10,20,0.0072
1,10,21,0.0345
1,10,22,0.0606
1,10,23,0.0145
1,11,0,0.1598
1,11,1,0.0599
1,11,2,0.2532
1,11,3,0.031
1,11,4,0.0617
1,11,5,0.0084
1,11,6,0.0337
1,11,7,0.1232
1,11,8,0.0601
1,11,9,0.0312
1,11,10,0.0443
1,11,11,0.0779
1,11,12,0.0744
1,11,13,0.0289
1,11,14,0.0587
1,11,15,0.0675
1,11,16,0.0419
1,11,17,0.0546
1,11,18,0.0631
1,11,19,0.0215
1,11,20,0.2124
1,11,21,0.0555
1,11,22,0.0281
1,11,23,0.0309
1,12,0,0.0107
1,12,1,0.0727
1,12,2,0.026
1,12,3,0.0385
1,12,4,0.0344
1,12,5,0.0585
1,12,6,0.055
1,12,7,0.0788
1,12,8,0.0081
1,12,9,0.1557
1,12,10,0.0758
1,12,11,0.0794
1,12,12,0.0144
1,12,13,0.0709
1,12,14,0.0391
1,12,15,0.0675
1,12,16,0.0213
1,12,17,0.103
1,12,18,0.0203
1,12,19,0.0329
1,12,20,0.0216
1,12,21,0.1372
1,12,22,0.0333
1,12,23,0.0202
1,13,0,0.0528
1,13,1,0.0252
1,13,2,0.044
1,13,3,0.0338
1,13,4,0.0264
1,13,5,0.1353
1,13,6,0.0422
1,13,7,0.0214
1,13,8,0.1288
1,13,9,0.051
1,13,10,0.0372
1,13,11,0.0507
1,13,12,0.1251
1,13,13,0.0337
1,13,14,0.1681
1,13,15,0.0884
1,13,16,0.0208
1,13,17,0.0186
1,13,18,0.2532
1,13,19,0.0181
1,13,20,0.0271
1,13,21,0.0185
1,13,22,0.0716
1,13,23,0.0496
1,14,0,0.0328
1,14,1,0.0134
1,14,2,0.0125
1,14,3,0.043
1,14,4,0.0483
1,14,5,0.0491
1,14,6,0.0672
1,14,7,0.0232
1,14,8,0.0197
1,14,9,0.127
1,14,10,0.0576
1,14,11,0.0449
1,14,12,0.029
1,14,13,0.0308
1,14,14,0.0297
1,14,15,0.1819
1,14,16,0.1753
1,14,17,0.0157
1,14,18,0.0473
1,14,19,0.1229
1,14,20,0.0358
1,14,21,0.0196
1,14,22,0.0094
1,14,23,0.0185
1,15,0,0.0577
1,15,1,0.0631
1,15,2,0.1104
1,15,3,0.0604
1,15,4,0.1291
1,15,5,0.0241
1,15,6,0.024
1,15,7,0.0969
1,15,8,0.0209
1,15,9,0.1017
1,15,10,0.0875
