Step,Layer,Head,Sparsity
1,10,16,0.0473
1,10,17,0.0052
1,10,18,0.0138
1,10,19,0.1927
1,10,20,0.0048
1,10,21,0.078
1,10,22,0.056
1,10,23,0.0132
1,11,0,0.1082
1,11,1,0.034
1,11,2,0.1593
1,11,3,0.0313
1,11,4,0.0388
1,11,5,0.0086
1,11,6,0.0241
1,11,7,0.0476
1,11,8,0.0281
1,11,9,0.0291
1,11,10,0.0274
1,11,11,0.0593
1,11,12,0.0597
1,11,13,0.0282
1,11,14,0.0383
1,11,15,0.0397
1,11,16,0.0395
1,11,17,0.0489
1,11,18,0.04
1,11,19,0.0196
1,11,20,0.112
1,11,21,0.043
1,11,22,0.0126
1,11,23,0.0256
1,12,0,0.0115
1,12,1,0.0956
1,12,2,0.0158
1,12,3,0.0236
1,12,4,0.0214
1,12,5,0.0299
1,12,6,0.0291
1,12,7,0.0702
1,12,8,0.0064
1,12,9,0.0743
1,12,10,0.0562
1,12,11,0.0702
1,12,12,0.0247
1,12,13,0.0654
1,12,14,0.0268
1,12,15,0.1455
1,12,16,0.0131
1,12,17,0.1156
1,12,18,0.0239
1,12,19,0.0163
1,12,20,0.0171
1,12,21,0.072
1,12,22,0.0247
1,12,23,0.0188
1,13,0,0.0394
1,13,1,0.0203
1,13,2,0.0225
1,13,3,0.025
1,13,4,0.0232
1,13,5,0.1076
1,13,6,0.0311
1,13,7,0.0139
1,13,8,0.0776
1,13,9,0.0395
1,13,10,0.0252
1,13,11,0.0295
1,13,12,0.0955
1,13,13,0.0269
1,13,14,0.1115
1,13,15,0.0485
1,13,16,0.0217
1,13,17,0.0154
1,13,18,0.1419
1,13,19,0.0205
1,13,20,0.0172
1,13,21,0.0105
1,13,22,0.0286
1,13,23,0.0363
1,14,0,0.022
1,14,1,0.0225
1,14,2,0.0142
1,14,3,0.0434
1,14,4,0.0778
1,14,5,0.021
1,14,6,0.0501
1,14,7,0.0454
1,14,8,0.0093
1,14,9,0.0976
1,14,10,0.0239
1,14,11,0.0187
1,14,12,0.0122
1,14,13,0.0408
1,14,14,0.0156
1,14,15,0.1464
1,14,16,0.12
1,14,17,0.0402
1,14,18,0.0399
1,14,19,0.1147
1,14,20,0.0427
1,14,21,0.0151
1,14,22,0.0109
1,14,23,0.0534
1,15,0,0.0407
1,15,1,0.1065
1,15,2,0.043
1,15,3,0.0455
1,15,4,0.1594
1,15,5,0.0122
1,15,6,0.0298
1,15,7,0.0415
1,15,8,0.0211
1,15,9,0.0663
1,15,10,0.0996
1,15,11,0.0428
1,15,12,0.0118
1,15,13,0.0265
1,15,14,0.039
1,15,15,0.0175
1,15,16,0.024
1,15,17,0.0098
1,15,18,0.0899
1,15,19,0.032
1,15,20,0.2189
1,15,21,0.184
1,15,22,0.0147
1,15,23,0.0646
1,16,0,0.0063
1,16,1,0.124
1,16,2,0.009
1,16,3,0.0316
1,16,4,0.0242
1,16,5,0.0111
1,16,6,0.0231
1,16,7,0.034
1,16,8,0.0105
1,16,9,0.05
1,16,10,0.0145
1,16,11,0.017
1,16,12,0.0082
1,16,13,0.0204
1,16,14,0.0887
1,16,15,0.0252
1,16,16,0.0101
1,16,17,0.0154
1,16,18,0.0091
1,16,19,0.0399
1,16,20,0.1581
1,16,21,0.1032
1,16,22,0.0113
1,16,23,0.004
1,17,0,0.0233
1,17,1,0.1112
1,17,2,0.0054
1,17,3,0.0041
1,17,4,0.0217
1,17,5,0.0051
1,17,6,0.0306
1,17,7,0.0191
1,17,8,0.0314
1,17,9,0.0088
1,17,10,0.0052
1,17,11,0.0035
1,17,12,0.0054
1,17,13,0.0092
1,17,14,0.0063
1,17,15,0.0227
1,17,16,0.0071
1,17,17,0.0258
1,17,18,0.0215
1,17,19,0.0022
1,17,20,0.0096
1,17,21,0.0865
1,17,22,0.0144
1,17,23,0.008
1,18,0,0.0173
1,18,1,0.087
1,18,2,0.1756
1,18,3,0.021
1,18,4,0.0221
1,18,5,0.0169
1,18,6,0.017
1,18,7,0.1356
1,18,8,0.0233
1,18,9,0.0162
1,18,10,0.0335
1,18,11,0.0778
1,18,12,0.0203
1,18,13,0.0396
1,18,14,0.0104
1,18,15,0.0256
1,18,16,0.0402
1,18,17,0.2864
1,18,18,0.0236
1,18,19,0.0399
1,18,20,0.0258
1,18,21,0.1128
1,18,22,0.0067
1,18,23,0.1309
1,19,0,0.0312
1,19,1,0.07
1,19,2,0.0584
1,19,3,0.0589
1,19,4,0.0581
1,19,5,0.0818
1,19,6,0.0648
1,19,7,0.1814
1,19,8,0.0184
1,19,9,0.0833
1,19,10,0.0314
1,19,11,0.0413
1,19,12,0.01
1,19,13,0.0171
1,19,14,0.0096
1,19,15,0.1398
1,19,16,0.0096
1,19,17,0.0328
1,19,18,0.082
1,19,19,0.0943
1,19,20,0.1029
1,19,21,0.2191
1,19,22,0.1401
1,19,23,0.1597
1,20,0,0.0381
1,20,1,0.0814
1,20,2,0.1072
1,20,3,0.0172
1,20,4,0.0555
1,20,5,0.4099
1,20,6,0.1635
1,20,7,0.0123
1,20,8,0.157
1,20,9,0.0674
1,20,10,0.049
1,20,11,0.3248
1,20,12,0.3313
1,20,13,0.0715
1,20,14,0.0238
1,20,15,0.0978
1,20,16,0.2324
1,20,17,0.0924
1,20,18,0.0764
1,20,19,0.0127
1,20,20,0.0704
1,20,21,0.0454
1,20,22,0.0118
1,20,23,0.035
1,21,0,0.0108
1,21,1,0.0087
1,21,2,0.0291
1,21,3,0.0183
1,21,4,0.1192
1,21,5,0.02
1,21,6,0.1102
1,21,7,0.0167
1,21,8,0.0604
1,21,9,0.021
1,21,10,0.0021
1,21,11,0.0187
1,21,12,0.0054
1,21,13,0.0147
1,21,14,0.0082
1,21,15,0.0776
1,21,16,0.0177
1,21,17,0.0092
1,21,18,0.1347
1,21,19,0.0211
1,21,20,0.0389
1,21,21,0.01
1,21,22,0.0143
1,21,23,0.0228
1,22,0,0.3776
1,22,1,0.1278
1,22,2,0.0779
1,22,3,0.146
1,22,4,0.0281
1,22,5,0.1461
1,22,6,0.029
1,22,7,0.0158
1,22,8,0.1387
1,22,9,0.1258
1,22,10,0.0217
1,22,11,0.0046
1,22,12,0.0801
1,22,13,0.0153
1,22,14,0.0481
1,22,15,0.0276
1,22,16,0.0445
1,22,17,0.0957
1,22,18,0.2095
1,22,19,0.0123
1,22,20,0.1605
1,22,21,0.0315
1,22,22,0.0252
1,22,23,0.0286
1,23,0,0.1028
1,23,1,0.2582
1,23,2,0.022
1,23,3,0.1789
1,23,4,0.0392
1,23,5,0.002
1,23,6,0.0723
1,23,7,0.1914
1,23,8,0.0025
1,23,9,0.2023
1,23,10,0.1621
1,23,11,0.0432
1,23,12,0.0468
1,23,13,0.3015
1,23,14,0.0156
1,23,15,0.0036
1,23,16,0.0037
1,23,17,0.0129
1,23,18,0.0308
1,23,19,0.0416
1,23,20,0.0696
1,23,21,0.1303
