Step,Layer,Head,Sparsity
1,6,15,0.1114
1,6,16,0.5274
1,6,17,0.2758
1,6,18,0.3921
1,6,19,0.1235
1,6,20,0.238
1,6,21,0.4256
1,6,22,0.2928
1,6,23,0.3293
1,6,24,0.1441
1,6,25,0.1423
1,6,26,0.2201
1,6,27,0.5751
1,6,28,0.1553
1,6,29,0.5119
1,6,30,0.3657
1,6,31,0.5189
1,6,32,0.4624
1,6,33,0.2187
1,6,34,0.0886
1,6,35,0.1799
1,6,36,0.2721
1,6,37,0.2242
1,6,38,0.2706
1,6,39,0.0176
1,7,0,0.064
1,7,1,0.285
1,7,2,0.0691
1,7,3,0.136
1,7,4,0.0681
1,7,5,0.3468
1,7,6,0.2071
1,7,7,0.3786
1,7,8,0.3016
1,7,9,0.3042
1,7,10,0.4325
1,7,11,0.3609
1,7,12,0.1962
1,7,13,0.1784
1,7,14,0.5466
1,7,15,0.3433
1,7,16,0.278
1,7,17,0.3468
1,7,18,0.2242
1,7,19,0.1915
1,7,20,0.083
1,7,21,0.2913
1,7,22,0.1797
1,7,23,0.3515
1,7,24,0.3285
1,7,25,0.4135
1,7,26,0.5128
1,7,27,0.1707
1,7,28,0.1706
1,7,29,0.4869
1,7,30,0.2596
1,7,31,0.2998
1,7,32,0.2759
1,7,33,0.1789
1,7,34,0.4199
1,7,35,0.206
1,7,36,0.0319
1,7,37,0.1763
1,7,38,0.5285
1,7,39,0.5171
1,8,0,0.0197
1,8,1,0.2673
1,8,2,0.4397
1,8,3,0.4367
1,8,4,0.199
1,8,5,0.4664
1,8,6,0.112
1,8,7,0.2098
1,8,8,0.3248
1,8,9,0.2961
1,8,10,0.085
1,8,11,0.2383
1,8,12,0.1301
1,8,13,0.4225
1,8,14,0.1446
1,8,15,0.3907
1,8,16,0.4785
1,8,17,0.37
1,8,18,0.3258
1,8,19,0.235
1,8,20,0.1984
1,8,21,0.1296
1,8,22,0.4443
1,8,23,0.2219
1,8,24,0.4248
1,8,25,0.1001
1,8,26,0.1704
1,8,27,0.2452
1,8,28,0.062
1,8,29,0.1889
1,8,30,0.2535
1,8,31,0.3336
1,8,32,0.1076
1,8,33,0.1055
1,8,34,0.2443
1,8,35,0.5364
1,8,36,0.2958
1,8,37,0.2017
1,8,38,0.2968
1,8,39,0.1065
1,9,0,0.372
1,9,1,0.2461
1,9,2,0.2082
1,9,3,0.3141
1,9,4,0.0935
1,9,5,0.3788
1,9,6,0.1965
1,9,7,0.2605
1,9,8,0.3461
1,9,9,0.1179
1,9,10,0.2336
1,9,11,0.2926
1,9,12,0.2331
1,9,13,0.0378
1,9,14,0.236
1,9,15,0.1887
1,9,16,0.1868
1,9,17,0.4514
1,9,18,0.0271
1,9,19,0.3189
1,9,20,0.2384
1,9,21,0.1553
1,9,22,0.3665
1,9,23,0.161
1,9,24,0.3805
1,9,25,0.253
1,9,26,0.2817
1,9,27,0.4236
1,9,28,0.0954
1,9,29,0.3345
1,9,30,0.277
1,9,31,0.3673
1,9,32,0.0606
1,9,33,0.2064
1,9,34,0.2356
1,9,35,0.275
1,9,36,0.1838
1,9,37,0.2329
1,9,38,0.3305
1,9,39,0.36
1,10,0,0.063
1,10,1,0.337
1,10,2,0.2243
1,10,3,0.2598
1,10,4,0.077
1,10,5,0.3304
1,10,6,0.2625
1,10,7,0.278
1,10,8,0.1053
1,10,9,0.2588
1,10,10,0.2817
1,10,11,0.3224
1,10,12,0.1176
1,10,13,0.4151
1,10,14,0.3046
1,10,15,0.4092
1,10,16,0.1217
1,10,17,0.1151
